date,content
2020-08-13 19:08:31+00:00,"MyAngelMyPride (MAMP), a local charity organisation supported solely by Malawians to support Frontline COVID-19 health workers, have started renovating the KCH health workers bathrooms.… https://t.co/StspTimsiV"
2020-08-01 13:05:59+00:00,"Beautiful day today. We went to KCH to show solidarity with the COVID-19 Frontline Health workers ..With love from the local charity, MyAngeMyPride! @ Kamuzu Central Hospital https://t.co/7QhCV23JDV"
2020-08-01 08:54:29+00:00,"#diaphramaticbreathing
#morningmotivation
#covid_19
#blackchild🖤 @ College Of Medicine - Lilongwe Campaus https://t.co/SGQ9GF5tl0"
2020-07-29 09:36:01+00:00,"Kindly donate.  Together helping frontline Covid 19 who #frontlineworkers #covid19 @ Lilongwe, Malawi https://t.co/Iuiag4PP14"
2020-07-22 12:21:09+00:00,"Covid-19 Took Away these
Moments We used to have
With Our Beloved Fans the only way We can connect with them is Through the Internet the way Internet is
Expensive that bridge is broken coz its just a few who can… https://t.co/nnxUu7V5R3"
2020-07-15 19:17:35+00:00,"Koma #Malawi, are we really serious? That we will tame the Covid-19 pandemic by 3 days of prayer and fasting? We can do better. This pandemic needs practical solutions because it is deaf to prayer. https://t.co/YyUxqHPAie"
2020-07-13 20:02:12+00:00,#covid_19 is real but we still have to look great. #nails #beauty https://t.co/O3r37IbNVQ
2020-05-29 17:14:40+00:00,COWLHA is responding to COVID-19 by distributing sanitary equipment in various districts in Malawi
2020-05-17 14:08:28+00:00,"Covid-19 is real
Lets sanitize
Both outside and inside the body https://t.co/Mw6bnKTgxX"
2020-04-13 10:18:15+00:00,"Every time you are sneezing UNRESPONSIBLY, remember this picture.
I first saw it when I was 10. It changed everything about how I sneeze!
#covid
#Beresponsible https://t.co/pqDK68uKBH"
2020-04-06 11:23:04+00:00,Let's observe precautions #splendor Art Graphics  wish u friends and family safety in this covid-19 era @ Lilongwe University Of Agriculture And Natural Resources (LUANAR) https://t.co/WwbWyutwKP
2020-04-02 08:03:43+00:00,"In the face of #COVID-19, Religious Leaders are key in spreading the right messages and raising awareness in communities. #MIAA in collaboration with #MoHandP is this morning holding a sensitization meeting with Religious leaders #UnityResponse #COVID19 https://t.co/yWrz6VXcA0"
